Date,text
2018-05-27,"b'RT @EthereumLedger: Hey #bountyhunters! \n\nEarn up to 50,000 Tokens!\nAll you need to do is:\n\n1. Follow us\n2. Like &amp; Retweet\n3. Fill in this\xe2\x80\xa6'"
2018-05-27,"b'RT @syscoin: #Blocknet interview with @Syscoin Creator @SebSchepis, Syscoin Co-Founder @BlockchainDan &amp; Syscoin Core Developer @realSidhuJa\xe2\x80\xa6'"
2018-05-27,"b'RT @EthereumLedger: Hello #bountyhunters! \n\nWilling to earn 50,000 Tokens?\nThe steps are:\n\n1. Follow us\n2. Like &amp; Retweet\n3. Fill in this f\xe2\x80\xa6'"
2018-05-27,"b'RT @EthereumLedger: Hey #bountyhunters! \n\nLooking to earn 50,000 Tokens?\n\n1. Follow us\n2. Like &amp; Retweet\n3. Comment with your ETH Address\n4\xe2\x80\xa6'"
2018-05-27,"b""RT @BitcoinCom: Big fans of yours over here @BitcoinCom Amazing to see you wearing our swag, we're definitely going to hook you up with som\xe2\x80\xa6"""
2018-05-27,b'RT @AirSave_Travel: Exciting announcements coming! Stay tuned peeps! \xf0\x9f\x92\xa5\xf0\x9f\x8f\x96\xf0\x9f\x92\xb0\n\n#ico #blockchaintechnology #blockchain #ethereum #bitcoin #initia\xe2\x80\xa6'
2018-05-27,"b""RT @Blockchainlife: The Rothschild's are entering the #Cryptocurrency market. In February, it became known that the Tether accounts of Bitf\xe2\x80\xa6"""
2018-05-27,"b'RT @EthereumLedger: #Bountyhunters!\n\nWilling to earn 50,000 Tokens?\n\n- Follow\n- Like &amp; Retweet\n- Comment your ETH Address\n- Fill in form: h\xe2\x80\xa6'"
2018-05-27,b'RT @Xentagz: Get kids into #Bitcoin (by @aantonop) https://t.co/CSIL3REfUx'
2018-05-27,b'RT @EverydayApe: \xf0\x9f\x92\xb0Looking for a safe place for your BITCOIN\xf0\x9f\x92\xb0\nhttps://t.co/cQPhFkqTlI \n#Litecoin #electroneum #cryptocurrency #Crypto #Crypt\xe2\x80\xa6'
2018-05-27,"b""RT @Localcoinswap_: We're getting excited about this, the end is getting closer, don't miss your chance to invest... https://t.co/6HAD1BaLe\xe2\x80\xa6"""
2018-05-27,b'RT @Beetcoin: Relative Global Annual Consumption of Energy of several known process. Giving comparison and perspective into the very emotio\xe2\x80\xa6'
2018-05-27,"b'The DAICO model allows token holders to control the withdrawal of funds and provides, also, the possibility for a r\xe2\x80\xa6 https://t.co/YpjkDHMAbS'"
2018-05-27,"b'RT @iotatokennews: Whereas the miners are verifying each transaction as it happens on the #blockchain, under the #IOTA #DAG structure, the\xe2\x80\xa6'"
2018-05-27,b'https://t.co/amFQaYM6Sp\xc2\xa0#ICO #bitcoin #ethereum #crypto #cryptocurrency #ecommerce#airdrop #bounty #BTC #xrp #javatoken'
2018-05-27,"b""How 'Super Gonorrhea' Became\xc2\xa0Super https://t.co/KFUqIHStie #crypto-#cryptocurrency-#blockchain-#bitcoin-#ico-#\xe2\x80\xa6 https://t.co/SfcVBAUHN7"""
2018-05-27,b'Stop by Infinity Futures Sierra Charting Club https://t.co/3Uy4DjW98S \n@InfinityFutures #wsj #nytimes #reuters\xe2\x80\xa6 https://t.co/UuMPfDH7he'
2018-05-27,b'Good #Morning from Aelfie to #Singapore and #Asia!\n\nAnd Good #afternoon/#evening to everywhere else in the #world!\xe2\x80\xa6 https://t.co/K8prrSoMtm'
2018-05-27,b'RT @Cryptofomos: Breaking News: $prl #prl Oyster PRL is approaching mainnet release at the end of this month. Stock up $prl before it moons\xe2\x80\xa6'
2018-05-27,"b'RT @syscoin: #Blocknet interview with @Syscoin Creator @SebSchepis, Syscoin Co-Founder @BlockchainDan &amp; Syscoin Core Developer @realSidhuJa\xe2\x80\xa6'"
2018-05-27,"b'RT @nizomate: King of Hexx Street:\nHello community,\nMore hexxciting news to be announced on our updated road map coming soon!\n\n#hxx $hxx @h\xe2\x80\xa6'"
2018-05-27,"b'RT @ArminVanBitcoin: The cover of the biggest newspaper magazine in Argentina : ""Is #bitcoin killing the USD""? \xf0\x9f\x93\xb0\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 #hyperbitcoinization htt\xe2\x80\xa6'"
2018-05-27,"b'RT @OnasanderICO: Onasander Airdrop! $3,000 give away every week!\nFirst Investment Bank running on Blockchain.\n\nGo to Airdrop Page : https:\xe2\x80\xa6'"
2018-05-27,b'RT @token4sale: Airdrop is live\xf0\x9f\x94\xa5 Only First 5000 Participant will get 1000 KPT Worth $83 \xf0\x9f\xa4\x91\n Grab your token. Hurry Up!\nForm Link : https://\xe2\x80\xa6'
2018-05-27,"b'RT @ArminVanBitcoin: The cover of the biggest newspaper magazine in Argentina : ""Is #bitcoin killing the USD""? \xf0\x9f\x93\xb0\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 #hyperbitcoinization htt\xe2\x80\xa6'"
2018-05-27,"b'RT @riafitriaya: Follow me, \nI will follback\n#Crypto #Bitcoin #ICO #bounty #altcoins #bitcointalk #1DDriv #IFB #followme #followback #follo\xe2\x80\xa6'"
2018-05-27,b'RT @bitcointens: \xe2\x80\x9cIt Is Very Hard To Regulate #Bitcoin\xe2\x80\x9d \xe2\x80\x93 Rep. Schweikert https://t.co/7p4i5KtgxO https://t.co/d7qfN1k4Am'
2018-05-27,b'RT @delt_dla: \xe2\x9a\xa1\xef\xb8\x8fRetweet! We will choose 10 random followers to win 0.2 ETH\xe2\x9a\xa1\xef\xb8\x8f\n\n\xf0\x9f\x9a\x80Please Support DELTA Token\xf0\x9f\x9a\x80\n\n1. FOLLOW\n2. LIKE AND RETWEET\xe2\x80\xa6'
2018-05-27,b'@STRAKStech #Straks #Masternodes are reDy to be run for you! #cryptocurrencies #bitcoin'
2018-05-27,"b""We don't use many brokers, only the best ones for us &amp; clients, but we can add a few more with MAM/PAMM accounts. #BestForexBroker #Bitcoin"""
2018-05-27,b'RT @Mensarii_io: Enjoy the convenience of cashless payments at your fingertips with Mensarii.\n#Cryptocurrency #Bitcoin #Ethereum #Blockchai\xe2\x80\xa6'
2018-05-27,"b'RT @BoonTechUSA: BOON Airdrop! 500,000 BOON give away!\n\n* Free Micro Job Platform like @fiverr and @Upwork \n* Official IBM Partner \n\nGo to\xe2\x80\xa6'"
2018-05-27,"b""RT @ryanmelodic3: Let's support @Docademic for @Binance. We need a big future for the world. A medical blockchain that helps real life! #Bi\xe2\x80\xa6"""
2018-05-27,"b'RT @syscoin: #Blocknet interview with @Syscoin Creator @SebSchepis, Syscoin Co-Founder @BlockchainDan &amp; Syscoin Core Developer @realSidhuJa\xe2\x80\xa6'"
2018-05-27,"b'RT @pokemongopkg: Retweet this post and get 5000 free PKG Token (PKG)! \xf0\x9f\x9a\x80\xf0\x9f\x9a\x80\xf0\x9f\x9a\x80 We will choose 5 random followers and send each 5000 PKG, 5 winn\xe2\x80\xa6'"
2018-05-27,b'RT @CoinsNewsUpdate: TapJets Adds Ripple and Litecoin for Flight Bookings https://t.co/sqMGjid4VU\n #Bitcoin'
2018-05-27,b'RT @murthaburke: Keen Autonomous  Ride  Hailing Platform- Check This Out! Get in NOW!\nhttps://t.co/Ri6MEMMy69 \n#imkeen @BIGMONEYMIKE6 @iamj\xe2\x80\xa6'
2018-05-27,b'RT @Nicholas_Merten: My predictions for 2018:\n\n#Bitcoin will be $50K by the EOY. Why?\n\n- Interest rates will continue to rise\n- Deutsche Ba\xe2\x80\xa6'
2018-05-27,"b'RT @syscoin: #Blocknet interview with @Syscoin Creator @SebSchepis, Syscoin Co-Founder @BlockchainDan &amp; Syscoin Core Developer @realSidhuJa\xe2\x80\xa6'"
2018-05-27,"b'@CryptoShillNye @CryptoHedge_ Buy #Bitcoin , forget the Crap. Wait and be patient. It will pay off.'"
2018-05-27,"b""This is what so many people overlook or forget about. Investing in #bitcoin isn't just betting that it will succeed\xe2\x80\xa6 https://t.co/uNeiuP611Z"""
2018-05-27,"b'Everyone knows that #blockchain is the future. How big it will be, and who will rise to the top, is still unknown.\xe2\x80\xa6 https://t.co/SgD4xfgSDv'"
2018-05-27,b'RT @murthaburke: Kasko2go ICO - Would You Like To Save Up To 50% On Motor Insurance Just For Driving Safe? \nhttps://t.co/EZXn9tXDao \n@BIGMO\xe2\x80\xa6'
2018-05-27,b'RT @Cryptofomos: Breaking News: $prl #prl Oyster PRL is approaching mainnet release at the end of this month. Stock up $prl before it moons\xe2\x80\xa6'
2018-05-27,"b'Viva\xe2\x80\x99s platform will utilize smart contracts to crowdfund home loans, connecting borrowers and investors directly w\xe2\x80\xa6 https://t.co/ppfPt56Ncx'"
2018-05-27,"b'RT @nvk: When in doubt, zoom out\xe2\x84\xa2 #HODL #bitcoin https://t.co/du7ORzIhuL'"
2018-05-27,b'RT @Nicholas_Merten: My predictions for 2018:\n\n#Bitcoin will be $50K by the EOY. Why?\n\n- Interest rates will continue to rise\n- Deutsche Ba\xe2\x80\xa6'
2018-05-27,"b""RT @Andy_Hoffman_CG: Conditions couldn't be riper for an institution or government to dramatically improve its constituents' futures with a\xe2\x80\xa6"""
2018-05-27,b'Cryptocurrency: #Bitcoin\nPrice USD: 7357.4524h Vol: 4057050000.0% change 24h: -0.02'
2018-05-27,b'@Nicholas_Merten My prediction for 2018:\n\n#Bitcoin will end the year between $7k and $10k by the EOY. Why?\n\n- The M\xe2\x80\xa6 https://t.co/hTKLP6OmzV'
2018-05-27,"b'RT @nvk: When in doubt, zoom out\xe2\x84\xa2 #HODL #bitcoin https://t.co/du7ORzIhuL'"
2018-05-27,"b'RT @OnasanderICO: Onasander Airdrop! $3,000 give away every week!\nFirst Investment Bank running on Blockchain.\n\nGo to Airdrop Page : https:\xe2\x80\xa6'"
2018-05-27,b'RT @SalihSarikaya: #Bitcoin public interest over past few months 2017-2018 and 2013-2014...\nWhat do you think? https://t.co/1WaKyHf0yJ'
2018-05-27,b'Forex and crypto direct hedge fund!\nhttps://t.co/D5eLq9ifbE\n#CHT #Countinghouse #hedgefund #investment #fund\xe2\x80\xa6 https://t.co/SfSS3Nj6cg'
2018-05-27,"b'#cryptocurrency #bitcoin #blockchain ABCC, World\xe2\x80\x99s First Zero-Trading-Fee Crypto Exchange, to Deliver a Frictionles\xe2\x80\xa6 https://t.co/Mjhl29Nt46'"
2018-05-27,b'TapJets Adds Ripple and Litecoin for Flight Bookings https://t.co/sqMGjid4VU\n #Bitcoin'
2018-05-27,b'RT @Xentagz: Get kids into #Bitcoin (by @aantonop) https://t.co/CSIL3REfUx'
2018-05-27,"b""RT @hackapreneur: \xf0\x9f\x9b\xa0\xef\xb8\x8fSeattle's First Conference. Come join us on the Seattle Waterfront June 5th.\n\n40+ Speakers, Exhibition &amp; Career fair.\xe2\x80\xa6"""
2018-05-27,b'RT @Xentagz: Get kids into #Bitcoin (by @aantonop) https://t.co/CSIL3REfUx'
2018-05-27,b'RT @AcoCollective: Did you see Danny from @YourLegitGaming give his opinion on #Acorn?\n \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\nWatch here: https://t.co/zimXxyH7jx\n \xe2\xa0\x80\xe2\xa0\x80\xe2\x80\xa6'
2018-05-27,"b'RT @ArminVanBitcoin: The cover of the biggest newspaper magazine in Argentina : ""Is #bitcoin killing the USD""? \xf0\x9f\x93\xb0\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7 #hyperbitcoinization htt\xe2\x80\xa6'"
2018-05-27,b'RT @murthaburke: KWATT Coin ICO - Introducing The KWATT Coin Tokenized Electricity! https://t.co/PRM1BRkHDp \n@BIGMONEYMIKE6 @iamjamiefoxx @\xe2\x80\xa6'
2018-05-27,"b'Phillip Nunn is another world-class advisor who joined Guarium.\n\nPhillip Nunn is an Entrepreneur, CEO and internati\xe2\x80\xa6 https://t.co/IrkBHjqnmB'"
2018-05-27,b'RT @LpesaICO: LPK Tokens distribution has started   \n\n\xe2\x80\x93 Login to your L-Pesa wallet \xc2\xbb&gt; update your ERC20 Token wallet address \xc2\xbb&gt; you are no\xe2\x80\xa6'
2018-05-27,b'RT @newsbtc: Rapid Growth Of #LightningNetwork Payment Channels Paints A Bright Future For #Bitcoin  https://t.co/HtTO4exvLB https://t.co/r\xe2\x80\xa6'
2018-05-27,b'The #Bitcoin Fever Has Got Tim Da\xe2\x80\x99R\xe2\x80\x99apper BY: Priyeshu Garg.\n\n \xf0\x9f\x8e\xa4 @TimDraper\n\nhttps://t.co/Vt51D95Tov\n\n#Bitcoin_News\xe2\x80\xa6 https://t.co/AiBWUKb3PV'
